"SubscriptionId","SubscriptionName","Name","Location","CoresUsed","CoresTotal","Zones","RestrictedZones","RestrictedRegion"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_D2s_v5","GermanyWestCentral","0","100","2,3,1","1,2,3","True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_E2s_v5","GermanyWestCentral","0","100","2,3,1","1,2,3","True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_F2s_v2","GermanyWestCentral","0","100","2,3,1","1,2,3","True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_D2s_v5","GermanyNorth",,,"",,"True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_E2s_v5","GermanyNorth",,,"",,"True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_F2s_v2","GermanyNorth",,,"",,"True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_D2s_v5","westus","2","100","",,"False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_E2s_v5","westus","0","100","",,"False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_F2s_v2","westus","0","100","",,"False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_D2s_v5","westus2","0","100","3,1,2","1,2,3","True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_E2s_v5","westus2","0","100","3,1,2","1,2,3","True"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_F2s_v2","westus2","0","100","1,3,2","1,2,3","False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_D2s_v5","WestUS3","0","100","2,3,1",,"False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_E2s_v5","WestUS3","0","100","2,3,1",,"False"
"00000000-0000-0000-0000-000000000000","Non-Prod-Workloads","Standard_F2s_v2","WestUS3","0","100","1,2,3",,"False"
